"service_id","date","exception_type"
"114","20230312","1"
"114","20230313","1"
"114","20230314","1"
"114","20230315","1"
"114","20230316","1"
"114","20230317","1"
"114","20230318","1"
"114","20230319","1"
"114","20230320","1"
"114","20230321","1"
"114","20230322","1"
"114","20230323","1"
"114","20230324","1"
"114","20230325","1"
"114","20230326","1"
"114","20230327","1"
"114","20230328","1"
"114","20230329","1"
"114","20230330","1"
"114","20230331","1"
"114","20230401","1"
"114","20230402","1"
"114","20230403","1"
"114","20230404","1"
"114","20230405","1"
"114","20230406","1"
"114","20230407","1"
"114","20230408","1"
"114","20230409","1"
"114","20230410","1"
"114","20230411","1"
"114","20230412","1"
"114","20230413","1"
"114","20230414","1"
"114","20230415","1"
"114","20230416","1"
"114","20230417","1"
"114","20230418","1"
"114","20230419","1"
"114","20230420","1"
"114","20230421","1"
"114","20230422","1"
"114","20230423","1"
"114","20230424","1"
"114","20230425","1"
"114","20230426","1"
"114","20230427","1"
"114","20230428","1"
"114","20230429","1"
"114","20230430","1"
"114","20230501","1"
"114","20230502","1"
"114","20230503","1"
"114","20230504","1"
"114","20230505","1"
"114","20230506","1"
"114","20230507","1"
"114","20230508","1"
"114","20230509","1"
"114","20230510","1"
"114","20230511","1"
"114","20230512","1"
"114","20230513","1"
"114","20230514","1"
"114","20230515","1"
"114","20230516","1"
"114","20230517","1"
"114","20230518","1"
"114","20230519","1"
"114","20230520","1"
"114","20230521","1"
"114","20230522","1"
"114","20230523","1"
"114","20230524","1"
"114","20230525","1"
"114","20230526","1"
"114","20230527","1"
"114","20230528","1"
"114","20230529","1"
"114","20230530","1"
"114","20230531","1"
"114","20230601","1"
"114","20230602","1"
"114","20230603","1"
"114","20230604","1"
"114","20230605","1"
"114","20230606","1"
"114","20230607","1"
"114","20230608","1"
"114","20230609","1"
"114","20230610","1"
"114","20230611","1"
"114","20230612","1"
"114","20230613","1"
"114","20230614","1"
"114","20230615","1"
"114","20230616","1"
"114","20230617","1"
"114","20230618","1"
"114","20230619","1"
"114","20230620","1"
"114","20230621","1"
"114","20230622","1"
"114","20230623","1"
"114","20230624","1"
"114","20230625","1"
"114","20230626","1"
"114","20230627","1"
"114","20230628","1"
"114","20230629","1"
"114","20230630","1"
"114","20230701","1"
"114","20230702","1"
"114","20230703","1"
"114","20230704","1"
"114","20230705","1"
"114","20230706","1"
"114","20230707","1"
"114","20230708","1"
"114","20230709","1"
"114","20230710","1"
"114","20230711","1"
"114","20230712","1"
"114","20230713","1"
"114","20230714","1"
"114","20230715","1"
"114","20230716","1"
"114","20230717","1"
"114","20230718","1"
"114","20230719","1"
"114","20230720","1"
"114","20230721","1"
"114","20230722","1"
"114","20230723","1"
"114","20230724","1"
"114","20230725","1"
"114","20230726","1"
"114","20230727","1"
"114","20230728","1"
"114","20230729","1"
"114","20230730","1"
"114","20230731","1"
"114","20230801","1"
"114","20230802","1"
"114","20230803","1"
"114","20230804","1"
"114","20230805","1"
"114","20230806","1"
"114","20230807","1"
"114","20230808","1"
"114","20230809","1"
"114","20230810","1"
"114","20230811","1"
"114","20230812","1"
"114","20230813","1"
"114","20230814","1"
"114","20230815","1"
"114","20230816","1"
"114","20230817","1"
"114","20230818","1"
"114","20230819","1"
"114","20230820","1"
"114","20230821","1"
"114","20230822","1"
"114","20230823","1"
"114","20230824","1"
"114","20230825","1"
"114","20230826","1"
"114","20230827","1"
"114","20230828","1"
"114","20230829","1"
"114","20230830","1"
"114","20230831","1"
"114","20230901","1"
"114","20230902","1"
"114","20230903","1"
"114","20230904","1"
"114","20230905","1"
"114","20230906","1"
"114","20230907","1"
"114","20230908","1"
"114","20230909","1"
"114","20230910","1"
"114","20230911","1"
"114","20230912","1"
"114","20230913","1"
"114","20230914","1"
"114","20230915","1"
"114","20230916","1"
"114","20230917","1"
"114","20230918","1"
"114","20230919","1"
"114","20230920","1"
"114","20230921","1"
"114","20230922","1"
"114","20230923","1"
"114","20230924","1"
"114","20230925","1"
"114","20230926","1"
"114","20230927","1"
"114","20230928","1"
"114","20230929","1"
"114","20230930","1"
"114","20231001","1"
"114","20231002","1"
"114","20231003","1"
"114","20231004","1"
"114","20231005","1"
"114","20231006","1"
"114","20231007","1"
"114","20231008","1"
"114","20231009","1"
"114","20231010","1"
"114","20231011","1"
"114","20231012","1"
"114","20231013","1"
"114","20231014","1"
"114","20231015","1"
"114","20231016","1"
"114","20231017","1"
"114","20231018","1"
"114","20231019","1"
"114","20231020","1"
"114","20231021","1"
"114","20231022","1"
"114","20231023","1"
"114","20231024","1"
"114","20231025","1"
"114","20231026","1"
"114","20231027","1"
"114","20231028","1"
"114","20231029","1"
"114","20231030","1"
"114","20231031","1"
"114","20231101","1"
"114","20231102","1"
"114","20231103","1"
"114","20231104","1"
"114","20231105","1"
"114","20231106","1"
"114","20231107","1"
"114","20231108","1"
"114","20231109","1"
"114","20231110","1"
"114","20231111","1"
"114","20231112","1"
"114","20231113","1"
"114","20231114","1"
"114","20231115","1"
"114","20231116","1"
"114","20231117","1"
"114","20231118","1"
"114","20231119","1"
"114","20231120","1"
"114","20231121","1"
"114","20231122","1"
"114","20231123","1"
"114","20231124","1"
"114","20231125","1"
"114","20231126","1"
"114","20231127","1"
"114","20231128","1"
"114","20231129","1"
"114","20231130","1"
"114","20231201","1"
"114","20231202","1"
"114","20231203","1"
"114","20231204","1"
"114","20231205","1"
"114","20231206","1"
"114","20231207","1"
"114","20231208","1"
"114","20231209","1"
"114","20231210","2"
"64810","20221211","1"
"64810","20221212","1"
"64810","20221213","1"
"64810","20221214","1"
"64810","20221215","1"
"64810","20221216","1"
"64810","20221217","2"
"64810","20221218","1"
"64810","20221219","1"
"64810","20221220","1"
"64810","20221221","1"
"64810","20221222","1"
"64810","20221223","1"
"64810","20221224","2"
"64810","20221225","2"
"64810","20221226","1"
"64810","20221227","1"
"64810","20221228","1"
"64810","20221229","1"
"64810","20221230","1"
"64810","20221231","2"
"64810","20230101","1"
"64810","20230102","1"
"64810","20230103","1"
"64810","20230104","1"
"64810","20230105","1"
"64810","20230106","1"
"64810","20230107","2"
"64810","20230108","1"
"64810","20230109","1"
"64810","20230110","1"
"64810","20230111","1"
"64810","20230112","1"
"64810","20230113","1"
"64810","20230114","2"
"64810","20230115","1"
"64810","20230116","1"
"64810","20230117","1"
"64810","20230118","1"
"64810","20230119","1"
"64810","20230120","1"
"64810","20230121","2"
"64810","20230122","1"
"64810","20230123","1"
"64810","20230124","1"
"64810","20230125","1"
"64810","20230126","1"
"64810","20230127","1"
"64810","20230128","2"
"64810","20230129","1"
"64810","20230130","1"
"64810","20230131","1"
"64810","20230201","1"
"64810","20230202","1"
"64810","20230203","1"
"64810","20230204","2"
"64810","20230205","1"
"64810","20230206","1"
"64810","20230207","1"
"64810","20230208","1"
"64810","20230209","1"
"64810","20230210","1"
"64810","20230211","2"
"64810","20230212","1"
"64810","20230213","1"
"64810","20230214","1"
