"stop_id","stop_name","stop_lat","stop_lon","stop_code","location_type","parent_station","wheelchair_boarding"
"136960","Brestovany","48.38233","17.69135","","","",""
"143867","Brestovec","48.78609","17.55765","","","",""
"148338","Breznička","48.42306","19.74015","","","",""
"143537","Brezno","48.80193","19.62906","","","",""
"143636","Brezno mesto","48.80425","19.64739","","","",""
"143735","Brezno-Halny","48.81768","19.66543","","","",""
"151431","Brezno-Rohozná","48.79478","19.70921","","","",""
"332957","Brno hl.n.","49.190959","16.612061","","","",""
"182550","Brodno","49.26659","18.75249","","","",""
"130260","Brodské","48.6925","17.02258","","","",""
"900033","Bruck/Leitha","48.019435","16.779331","","","",""
"142638","Brusno kúpele","48.79181","19.38606","","","",""
"5100671","Brzesko Okocim","49.986780372145134","20.610323549277048","","","",""
"100172","Budapest-Keleti pu","47.500952","19.082857","","","",""
"100339","Budapest-Nyugati pu","47.510158","19.056577","","","",""
"900025","Büchen","53.475283","10.623137","","","",""
"94045","Buchs SG","47.168551","9.478469","","","",""
"143933","Bujakovo zast.","48.82090","19.68895","","","",""
"142364","Buková","48.55151","17.45072","","","",""
"142901","Bušovce","49.216929","20.493605","","","",""
"159103","Bystré","49.00362","21.54174","","","",""
"331041","Bystřice (Bystrzyca)","49.636736461476715","18.717382240719946","","","",""
"172056","Bystričany","48.65893","18.48962","","","",""
"173658","Bytča","49.20731","18.55359","","","",""
"175356","Bytčica","49.18821","18.73089","","","",""
"141036","Bzenica","48.52837","18.73836","","","",""
"174656","Bziny","49.22944","19.3204","","","",""
"147231","Bzovík","48.325417","19.059369","","","",""
"147637","Bzovská Lehôtka","48.420147","19.129704","","","",""
"141762","Cerová-Lieskové","48.59661","17.40349","","","",""
"152108","Cestice","48.58644","21.09811","","","",""
"136663","Cífer","48.32279","17.48657","","","",""
"900079","Czaszyn","49.459225","22.219690","","","",""
"5100251","Czechowice Dziedzice","49.914693233067695","19.00508197861","","","",""
"181156","Čadca","49.44454","18.78684","","","",""
